"state","county","year","party","votes"
"CA","Sonoma",2000,"dem",117295
"CA","Stanislaus",2000,"dem",56448
"CA","Sutter",2000,"dem",8416
"CA","Tehama",2000,"dem",6507
"CA","Trinity",2000,"dem",1932
"CA","Tulare",2000,"dem",33006
"CA","Tuolumne",2000,"dem",9359
"CA","Ventura",2000,"dem",133258
"CA","Yolo",2000,"dem",33747
"CA","Yuba",2000,"dem",5546
"CO","Adams",2000,"dem",54132
"CO","Alamosa",2000,"dem",2455
"CO","Arapahoe",2000,"dem",82614
"CO","Archuleta",2000,"dem",1432
"CO","Baca",2000,"dem",531
"CO","Bent",2000,"dem",783
"CO","Boulder",2000,"dem",69983
"CO","Chaffee",2000,"dem",2768
"CO","Cheyenne",2000,"dem",209
"CO","Clear Creek",2000,"dem",2188
"CO","Conejos",2000,"dem",1749
"CO","Costilla",2000,"dem",1054
"CO","Crowley",2000,"dem",511
"CO","Custer",2000,"dem",507
"CO","Delta",2000,"dem",3264
"CO","Denver",2000,"dem",122693
"CO","Dolores",2000,"dem",293
"CO","Douglas",2000,"dem",27076
"CO","Eagle",2000,"dem",6772
"CO","El Paso",2000,"dem",61799
"CO","Elbert",2000,"dem",2326
"CO","Fremont",2000,"dem",5293
"CO","Garfield",2000,"dem",6087
"CO","Gilpin",2000,"dem",1099
"CO","Grand",2000,"dem",2308
"CO","Gunnison",2000,"dem",3059
"CO","Hinsdale",2000,"dem",188
"CO","Huerfano",2000,"dem",1495
"CO","Jackson",2000,"dem",173
"CO","Jefferson",2000,"dem",100970
"CO","Kiowa",2000,"dem",211
"CO","Kit Carson",2000,"dem",809
"CO","La Plata",2000,"dem",7864
"CO","Lake",2000,"dem",1296
"CO","Larimer",2000,"dem",46055
"CO","Las Animas",2000,"dem",3243
"CO","Lincoln",2000,"dem",510
"CO","Logan",2000,"dem",2296
"CO","Mesa",2000,"dem",15465
"CO","Mineral",2000,"dem",168
"CO","Moffat",2000,"dem",1223
"CO","Montezuma",2000,"dem",2556
"CO","Montrose",2000,"dem",4041
"CO","Morgan",2000,"dem",2885
"CO","Otero",2000,"dem",2963
"CO","Ouray",2000,"dem",705
"CO","Park",2000,"dem",2393
"CO","Phillips",2000,"dem",564
"CO","Pitkin",2000,"dem",4137
"CO","Prowers",2000,"dem",1361
"CO","Pueblo",2000,"dem",28888
"CO","Rio Blanco",2000,"dem",543
"CO","Rio Grande",2000,"dem",1707
"CO","Routt",2000,"dem",4208
"CO","Saguache",2000,"dem",1145
"CO","San Juan",2000,"dem",149
"CO","San Miguel",2000,"dem",1598
"CO","Sedgwick",2000,"dem",384
"CO","Summit",2000,"dem",5304
"CO","Teller",2000,"dem",2750
"CO","Washington",2000,"dem",477
"CO","Weld",2000,"dem",23436
"CO","Yuma",2000,"dem",1082
"CT","Fairfield",2000,"dem",193769
"CT","Hartford",2000,"dem",221167
"CT","Litchfield",2000,"dem",41806
"CT","Middlesex",2000,"dem",43319
"CT","New Haven",2000,"dem",197928
"CT","New London",2000,"dem",60449
"CT","Tolland",2000,"dem",33554
"CT","Windham",2000,"dem",24023
"DE","Kent",2000,"dem",22790
"DE","New Castle",2000,"dem",127539
"DE","Sussex",2000,"dem",29739
"DC","District of Columbia",2000,"dem",171923
"FL","Alachua",2000,"dem",47380
"FL","Baker",2000,"dem",2392
"FL","Bay",2000,"dem",18873
"FL","Bradford",2000,"dem",3075
"FL","Brevard",2000,"dem",97341
"FL","Broward",2000,"dem",387760
"FL","Calhoun",2000,"dem",2156
"FL","Charlotte",2000,"dem",29646
"FL","Citrus",2000,"dem",25531
"FL","Clay",2000,"dem",14668
"FL","Collier",2000,"dem",29939
"FL","Columbia",2000,"dem",7049
"FL","Dade",2000,"dem",328867
"FL","Desoto",2000,"dem",3321
"FL","Dixie",2000,"dem",1827
"FL","Duval",2000,"dem",108039
"FL","Escambia",2000,"dem",40990
"FL","Flagler",2000,"dem",13897
"FL","Franklin",2000,"dem",2047
"FL","Gadsden",2000,"dem",9736
"FL","Gilchrist",2000,"dem",1910
"FL","Glades",2000,"dem",1442
"FL","Gulf",2000,"dem",2398
"FL","Hamilton",2000,"dem",1723
"FL","Hardee",2000,"dem",2342
"FL","Hendry",2000,"dem",3240
"FL","Hernando",2000,"dem",32648
"FL","Highlands",2000,"dem",14169
"FL","Hillsborough",2000,"dem",169576
"FL","Holmes",2000,"dem",2177
"FL","Indian River",2000,"dem",19769
"FL","Jackson",2000,"dem",6870
"FL","Jefferson",2000,"dem",3041
"FL","Lafayette",2000,"dem",789
"FL","Lake",2000,"dem",36571
"FL","Lee",2000,"dem",73571
"FL","Leon",2000,"dem",61444
"FL","Levy",2000,"dem",5398
"FL","Liberty",2000,"dem",1017
"FL","Madison",2000,"dem",3015
"FL","Manatee",2000,"dem",49226
"FL","Marion",2000,"dem",44674
"FL","Martin",2000,"dem",26621
"FL","Monroe",2000,"dem",16487
"FL","Nassau",2000,"dem",6955
"FL","Okaloosa",2000,"dem",16989
"FL","Okeechobee",2000,"dem",4589
"FL","Orange",2000,"dem",140236
"FL","Osceola",2000,"dem",28187
"FL","Palm Beach",2000,"dem",269754
"FL","Pasco",2000,"dem",69576
"FL","Pinellas",2000,"dem",200657
"FL","Polk",2000,"dem",75207
"FL","Putnam",2000,"dem",12107
"FL","Santa Rosa",2000,"dem",12818
"FL","Sarasota",2000,"dem",72869
"FL","Seminole",2000,"dem",59227
"FL","St0 Johns",2000,"dem",19509
"FL","St0 Lucie",2000,"dem",41560
"FL","Sumter",2000,"dem",9637
"FL","Suwannee",2000,"dem",4076
"FL","Taylor",2000,"dem",2649
"FL","Union",2000,"dem",1407
"FL","Volusia",2000,"dem",97313
"FL","Wakulla",2000,"dem",3838
"FL","Walton",2000,"dem",5643
"FL","Washington",2000,"dem",2798
"GA","Appling",2000,"dem",2093
"GA","Atkinson",2000,"dem",821
"GA","Bacon",2000,"dem",956
"GA","Baker",2000,"dem",893
"GA","Baldwin",2000,"dem",5893
"GA","Banks",2000,"dem",1220
"GA","Barrow",2000,"dem",3657
"GA","Bartow",2000,"dem",7508
"GA","Ben Hill",2000,"dem",2234
"GA","Berrien",2000,"dem",1640
"GA","Bibb",2000,"dem",24996
"GA","Bleckley",2000,"dem",1273
"GA","Brantley",2000,"dem",1372
"GA","Brooks",2000,"dem",2096
"GA","Bryan",2000,"dem",2172
"GA","Bulloch",2000,"dem",5561
"GA","Burke",2000,"dem",3720
"GA","Butts",2000,"dem",2281
"GA","Calhoun",2000,"dem",1107
"GA","Camden",2000,"dem",3636
"GA","Candler",2000,"dem",1053
"GA","Carroll",2000,"dem",8752
"GA","Catoosa",2000,"dem",5470
"GA","Charlton",2000,"dem",1015
"GA","Chatham",2000,"dem",37590
"GA","Chattahoochee",2000,"dem",600
"GA","Chattooga",2000,"dem",2729
"GA","Cherokee",2000,"dem",12295
"GA","Clarke",2000,"dem",15167
"GA","Clay",2000,"dem",821
"GA","Clayton",2000,"dem",40042
"GA","Clinch",2000,"dem",816
"GA","Cobb",2000,"dem",86676
"GA","Coffee",2000,"dem",3593
"GA","Colquitt",2000,"dem",3297
"GA","Columbia",2000,"dem",8969
"GA","Cook",2000,"dem",1639
"GA","Coweta",2000,"dem",9056
"GA","Crawford",2000,"dem",1513
"GA","Crisp",2000,"dem",2268
"GA","Dade",2000,"dem",1628
"GA","Dawson",2000,"dem",1458
"GA","Decatur",2000,"dem",3398
"GA","DeKalb",2000,"dem",154509
"GA","Dodge",2000,"dem",2326
"GA","Dooly",2000,"dem",1901
"GA","Dougherty",2000,"dem",16650
"GA","Douglas",2000,"dem",11162
"GA","Early",2000,"dem",1622
"GA","Echols",2000,"dem",272
"GA","Effingham",2000,"dem",3232
"GA","Elbert",2000,"dem",2527
"GA","Emanuel",2000,"dem",2835
"GA","Evans",2000,"dem",1217
"GA","Fannin",2000,"dem",2736
"GA","Fayette",2000,"dem",11912
"GA","Floyd",2000,"dem",10282
"GA","Forsyth",2000,"dem",6694
"GA","Franklin",2000,"dem",2040
"GA","Fulton",2000,"dem",152039
"GA","Gilmer",2000,"dem",2230
"GA","Glascock",2000,"dem",249
"GA","Glynn",2000,"dem",7778
"GA","Gordon",2000,"dem",4032
"GA","Grady",2000,"dem",2721
"GA","Greene",2000,"dem",2137
"GA","Gwinnett",2000,"dem",61434
"GA","Habersham",2000,"dem",2530
"GA","Hall",2000,"dem",10259
"GA","Hancock",2000,"dem",2414
"GA","Haralson",2000,"dem",2869
"GA","Harris",2000,"dem",2912
"GA","Hart",2000,"dem",3192
"GA","Heard",2000,"dem",1178
"GA","Henry",2000,"dem",11971
"GA","Houston",2000,"dem",13301
"GA","Irwin",2000,"dem",1105
"GA","Jackson",2000,"dem",3420
"GA","Jasper",2000,"dem",1558
"GA","Jeff Davis",2000,"dem",1379
"GA","Jefferson",2000,"dem",2973
"GA","Jenkins",2000,"dem",1250
"GA","Johnson",2000,"dem",1065
"GA","Jones",2000,"dem",3102
"GA","Lamar",2000,"dem",2194
"GA","Lanier",2000,"dem",832
"GA","Laurens",2000,"dem",5724
"GA","Lee",2000,"dem",1936
"GA","Liberty",2000,"dem",5347
"GA","Lincoln",2000,"dem",1275
"GA","Long",2000,"dem",975
"GA","Lowndes",2000,"dem",10616
"GA","Lumpkin",2000,"dem",2121
"GA","Macon",2000,"dem",2757
"GA","Madison",2000,"dem",2285
"GA","Marion",2000,"dem",982
"GA","McDuffie",2000,"dem",2580
"GA","McIntosh",2000,"dem",2047
"GA","Meriwether",2000,"dem",3441
"GA","Miller",2000,"dem",783
"GA","Mitchell",2000,"dem",2971
"GA","Monroe",2000,"dem",2839
"GA","Montgomery",2000,"dem",1013
"GA","Morgan",2000,"dem",2238
"GA","Murray",2000,"dem",2684
"GA","Muscogee",2000,"dem",28193
"GA","Newton",2000,"dem",6703
"GA","Oconee",2000,"dem",3184
"GA","Oglethorpe",2000,"dem",1519
"GA","Paulding",2000,"dem",6743
"GA","Peach",2000,"dem",3540
"GA","Pickens",2000,"dem",2489
"GA","Pierce",2000,"dem",1300
"GA","Pike",2000,"dem",1413
"GA","Polk",2000,"dem",4112
"GA","Pulaski",2000,"dem",1390
"GA","Putnam",2000,"dem",2612
"GA","Quitman",2000,"dem",542
"GA","Rabun",2000,"dem",1776
"GA","Randolph",2000,"dem",1381
"GA","Richmond",2000,"dem",31413
"GA","Rockdale",2000,"dem",8295
"GA","Schley",2000,"dem",460
"GA","Screven",2000,"dem",2233
"GA","Seminole",2000,"dem",1313
"GA","Spalding",2000,"dem",5831
