STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"Alaska","District 21",3263,2309,810,140,54,22,18,13,0,0,0,0,0,0,0,0,0,1057
"Alaska","District 22",4910,2656,697,145,59,33,16,9,0,0,0,0,0,0,0,0,0,959
"Alaska","District 23",2961,1282,283,53,25,12,10,4,0,0,0,0,0,0,0,0,0,387
"Alaska","District 24",5063,1985,631,139,41,34,12,10,0,0,0,0,0,0,0,0,0,867
"Alaska","District 25",5489,1697,743,174,42,22,22,12,0,0,0,0,0,0,0,0,0,1015
"Alaska","District 26",5869,1608,715,231,88,35,22,22,0,0,0,0,0,0,0,0,0,1113
"Alaska","District 27",6714,2199,1014,284,132,38,28,29,0,0,0,0,0,0,0,0,0,1525
"Alaska","District 28",7113,2116,1100,403,174,50,40,44,0,0,0,0,0,0,0,0,0,1811
"Alaska","District 29",4054,2806,1628,125,128,35,33,14,0,0,0,0,0,0,0,0,0,1963
"Alaska","District 30",3622,1698,538,108,64,25,18,10,0,0,0,0,0,0,0,0,0,763
"Alaska","District 31",3326,1831,535,137,71,34,22,9,0,0,0,0,0,0,0,0,0,808
"Alaska","District 32",4178,1389,285,105,35,21,9,11,0,0,0,0,0,0,0,0,0,466
"Alaska","District 33",5804,1765,789,164,101,29,31,29,0,0,0,0,0,0,0,0,0,1143
"Alaska","District 34",5243,1300,407,110,43,29,16,6,0,0,0,0,0,0,0,0,0,611
"Alaska","District 35",4278,1208,588,139,87,36,25,21,0,0,0,0,0,0,0,0,0,896
"Alaska","District 36",3007,1945,383,120,59,12,24,27,0,0,0,0,0,0,0,0,0,625
"Alaska","District 37",2725,1821,255,124,41,28,26,8,0,0,0,0,0,0,0,0,0,482
"Alaska","District 38",2467,2015,267,108,34,16,48,21,0,0,0,0,0,0,0,0,0,494
"Alaska","District 39",2321,2282,383,100,42,13,23,24,0,0,0,0,0,0,0,0,0,585
"Alaska","District 40",1831,1024,252,58,32,10,13,6,0,0,0,0,0,0,0,0,0,371
"Arizona","Apache",5947,13025,245,135,66,0,0,15,0,0,0,0,0,0,0,0,0,461
"Arizona","Cochise",18180,13360,1113,315,199,3,0,34,0,0,0,0,0,0,0,0,0,1664
"Arizona","Coconino",17562,20280,2478,244,252,1,0,66,0,0,0,0,0,0,0,0,0,3041
"Arizona","Gila",9158,7700,497,227,129,0,0,25,0,0,0,0,0,0,0,0,0,878
"Arizona","Graham",6007,3355,144,131,20,0,0,7,0,0,0,0,0,0,0,0,0,302
"Arizona","Greenlee",1619,1216,68,42,12,0,0,3,0,0,0,0,0,0,0,0,0,125
"Arizona","La Paz",2543,1769,91,53,24,0,0,3,0,0,0,0,0,0,0,0,0,171
"Arizona","Maricopa",479967,386683,22465,7156,2985,58,0,494,0,0,0,0,0,0,0,0,0,33158
"Arizona","Mohave",24386,17470,1323,622,291,5,0,44,0,0,0,0,0,0,0,0,0,2285
"Arizona","Navajo",12386,11794,517,266,156,0,0,28,0,0,0,0,0,0,0,0,0,967
"Arizona","Pima",124579,147688,12355,1731,1046,36,0,205,0,0,0,0,0,0,0,0,0,15373
"Arizona","Pinal",20122,19650,904,442,136,0,0,36,0,0,0,0,0,0,0,0,0,1518
"Arizona","Santa Cruz",3344,5233,217,44,41,0,0,14,0,0,0,0,0,0,0,0,0,316
"Arizona","Yavapai",40144,24063,2733,749,261,7,0,125,0,0,0,0,0,0,0,0,0,3875
